Timestamp,AirQualityStationEoICode,AveragingTime,PM10
2013-10-15 23:00:00,DESN077,day,17.55
2013-10-16 23:00:00,DESN077,day,30.7
2013-10-17 23:00:00,DESN077,day,19.0
2013-10-18 23:00:00,DESN077,day,19.71
2013-10-19 23:00:00,DESN077,day,20.43
2013-10-20 23:00:00,DESN077,day,17.62
2013-10-21 23:00:00,DESN077,day,26.05
2013-10-22 23:00:00,DESN077,day,23.45
2013-10-23 23:00:00,DESN077,day,19.0
2013-10-24 23:00:00,DESN077,day,23.99
2013-10-25 23:00:00,DESN077,day,28.75
2013-10-26 23:00:00,DESN077,day,19.68
2013-10-27 23:00:00,DESN077,day,10.74
2013-10-28 23:00:00,DESN077,day,16.81
2013-10-29 23:00:00,DESN077,day,16.84
2013-10-30 23:00:00,DESN077,day,19.96
2013-10-31 23:00:00,DESN077,day,28.71
2013-11-01 23:00:00,DESN077,day,25.8
2013-11-02 23:00:00,DESN077,day,14.18
2013-11-03 23:00:00,DESN077,day,8.87
2013-11-04 23:00:00,DESN077,day,7.51
2013-11-05 23:00:00,DESN077,day,14.18
2013-11-06 23:00:00,DESN077,day,14.25
2013-11-07 23:00:00,DESN077,day,9.08
2013-11-08 23:00:00,DESN077,day,13.64
2013-11-09 23:00:00,DESN077,day,10.68
2013-11-10 23:00:00,DESN077,day,10.81
2013-11-11 23:00:00,DESN077,day,28.39
2013-11-12 23:00:00,DESN077,day,28.63
2013-11-13 23:00:00,DESN077,day,38.29
2013-11-14 23:00:00,DESN077,day,35.27
2013-11-15 23:00:00,DESN077,day,52.11
2013-11-16 23:00:00,DESN077,day,47.84
2013-11-17 23:00:00,DESN077,day,39.35
2013-11-18 23:00:00,DESN077,day,34.15
2013-11-19 23:00:00,DESN077,day,36.13
2013-11-20 23:00:00,DESN077,day,14.01
2013-11-21 23:00:00,DESN077,day,19.71
2013-11-22 23:00:00,DESN077,day,18.66
2013-11-23 23:00:00,DESN077,day,22.23
2013-11-24 23:00:00,DESN077,day,14.9
2013-11-25 23:00:00,DESN077,day,22.53
2013-11-26 23:00:00,DESN077,day,30.8
2013-11-27 23:00:00,DESN077,day,36.74
2013-11-28 23:00:00,DESN077,day,20.71
2013-11-29 23:00:00,DESN077,day,19.73
2013-11-30 23:00:00,DESN077,day,10.98
2013-12-01 23:00:00,DESN077,day,17.86
2013-12-02 23:00:00,DESN077,day,45.05
2013-12-03 23:00:00,DESN077,day,46.78
2013-12-05 23:00:00,DESN077,day,20.61
2013-12-06 23:00:00,DESN077,day,15.25
2013-12-07 23:00:00,DESN077,day,16.76
2013-12-08 23:00:00,DESN077,day,15.47
2013-12-09 23:00:00,DESN077,day,13.99
2013-12-10 23:00:00,DESN077,day,38.48
2013-12-11 23:00:00,DESN077,day,26.27
2013-12-12 23:00:00,DESN077,day,26.36
2013-12-13 23:00:00,DESN077,day,26.47
2013-12-14 23:00:00,DESN077,day,27.11
2013-12-15 23:00:00,DESN077,day,19.81
2013-12-16 23:00:00,DESN077,day,30.69
2013-12-17 23:00:00,DESN077,day,61.64
2013-12-18 23:00:00,DESN077,day,37.35
2013-12-19 23:00:00,DESN077,day,27.41
2013-12-20 23:00:00,DESN077,day,26.85
2013-12-21 23:00:00,DESN077,day,18.23
2013-12-22 23:00:00,DESN077,day,12.94
2013-12-23 23:00:00,DESN077,day,10.5
2013-12-24 23:00:00,DESN077,day,9.79
2013-12-25 23:00:00,DESN077,day,15.53
2013-12-26 23:00:00,DESN077,day,23.4
2013-12-27 23:00:00,DESN077,day,12.82
2013-12-28 23:00:00,DESN077,day,11.57
2013-12-29 23:00:00,DESN077,day,8.08
2013-12-30 23:00:00,DESN077,day,19.04
2013-12-31 23:00:00,DESN077,day,34.81
2014-01-01 23:00:00,DESN077,day,65.12
2014-01-02 23:00:00,DESN077,day,19.26
2014-01-03 23:00:00,DESN077,day,12.88
2014-01-04 23:00:00,DESN077,day,20.2
2014-01-05 23:00:00,DESN077,day,17.63
2014-01-06 23:00:00,DESN077,day,11.93
2014-01-07 23:00:00,DESN077,day,18.11
2014-01-08 23:00:00,DESN077,day,22.23
2014-01-09 23:00:00,DESN077,day,17.16
2014-01-10 23:00:00,DESN077,day,13.94
2014-01-11 23:00:00,DESN077,day,21.46
2014-01-12 23:00:00,DESN077,day,19.21
2014-01-13 23:00:00,DESN077,day,35.55
2014-01-14 23:00:00,DESN077,day,40.75
2014-01-15 23:00:00,DESN077,day,41.14
2014-01-16 23:00:00,DESN077,day,21.23
2014-01-17 23:00:00,DESN077,day,20.64
2014-01-18 23:00:00,DESN077,day,26.56
2014-01-19 23:00:00,DESN077,day,36.68
2014-01-20 23:00:00,DESN077,day,30.18
2014-01-21 23:00:00,DESN077,day,22.31
2014-01-22 23:00:00,DESN077,day,51.63
2014-01-23 23:00:00,DESN077,day,53.81
2014-01-24 23:00:00,DESN077,day,65.66
2014-01-25 23:00:00,DESN077,day,87.49
2014-01-26 23:00:00,DESN077,day,81.57
2014-01-27 23:00:00,DESN077,day,30.04
2014-01-28 23:00:00,DESN077,day,38.5
2014-01-29 23:00:00,DESN077,day,80.24
2014-01-30 23:00:00,DESN077,day,92.1
2014-01-31 23:00:00,DESN077,day,98.92
2014-02-01 23:00:00,DESN077,day,34.1
2014-02-02 23:00:00,DESN077,day,36.05
2014-02-03 23:00:00,DESN077,day,47.86
2014-02-04 23:00:00,DESN077,day,42.11
2014-02-05 23:00:00,DESN077,day,44.25
2014-02-06 23:00:00,DESN077,day,29.31
2014-02-07 23:00:00,DESN077,day,19.82
2014-02-08 23:00:00,DESN077,day,11.91
2014-02-09 23:00:00,DESN077,day,11.45
2014-02-10 23:00:00,DESN077,day,23.28
2014-02-11 23:00:00,DESN077,day,21.38
2014-02-12 23:00:00,DESN077,day,19.57
2014-02-13 23:00:00,DESN077,day,19.7
2014-02-14 23:00:00,DESN077,day,17.49
2014-02-15 23:00:00,DESN077,day,9.13
2014-02-16 23:00:00,DESN077,day,9.71
2014-02-17 23:00:00,DESN077,day,24.98
2014-02-18 23:00:00,DESN077,day,31.48
2014-02-19 23:00:00,DESN077,day,29.84
2014-02-20 23:00:00,DESN077,day,23.75
2014-02-21 23:00:00,DESN077,day,22.09
2014-02-22 23:00:00,DESN077,day,15.32
2014-02-23 23:00:00,DESN077,day,15.97
2014-02-24 23:00:00,DESN077,day,33.58
2014-02-25 23:00:00,DESN077,day,41.11
2014-02-26 23:00:00,DESN077,day,55.06
2014-02-27 23:00:00,DESN077,day,51.6
2014-02-28 23:00:00,DESN077,day,35.49
2014-03-01 23:00:00,DESN077,day,41.51
2014-03-02 23:00:00,DESN077,day,45.76
2014-03-03 23:00:00,DESN077,day,61.39
2014-03-04 23:00:00,DESN077,day,67.05
2014-03-05 23:00:00,DESN077,day,67.75
2014-03-06 23:00:00,DESN077,day,85.84
2014-03-07 23:00:00,DESN077,day,73.23
2014-03-08 23:00:00,DESN077,day,74.58
2014-03-09 23:00:00,DESN077,day,74.37
2014-03-10 23:00:00,DESN077,day,75.25
2014-03-11 23:00:00,DESN077,day,83.04
2014-03-12 23:00:00,DESN077,day,53.38
2014-03-13 23:00:00,DESN077,day,81.88
2014-03-14 23:00:00,DESN077,day,93.23
2014-03-15 23:00:00,DESN077,day,37.29
2014-03-16 23:00:00,DESN077,day,13.18
2014-03-17 23:00:00,DESN077,day,24.96
2014-03-18 23:00:00,DESN077,day,45.41
2014-03-19 23:00:00,DESN077,day,21.46
2014-03-20 23:00:00,DESN077,day,22.33
2014-03-21 23:00:00,DESN077,day,29.9
2014-03-22 23:00:00,DESN077,day,18.52
2014-03-23 23:00:00,DESN077,day,19.38
2014-03-24 23:00:00,DESN077,day,29.6
2014-03-25 23:00:00,DESN077,day,26.9
2014-03-26 23:00:00,DESN077,day,32.43
2014-03-27 23:00:00,DESN077,day,36.88
2014-03-28 23:00:00,DESN077,day,54.38
2014-03-29 23:00:00,DESN077,day,56.94
2014-03-30 23:00:00,DESN077,day,73.56
2014-03-31 23:00:00,DESN077,day,86.23
2014-04-01 23:00:00,DESN077,day,78.76
2014-04-02 23:00:00,DESN077,day,66.68
2014-04-03 23:00:00,DESN077,day,66.4
2014-04-04 23:00:00,DESN077,day,75.77
2014-04-05 23:00:00,DESN077,day,56.96
2014-04-06 23:00:00,DESN077,day,60.33
2014-04-07 23:00:00,DESN077,day,37.2
2014-04-08 23:00:00,DESN077,day,32.38
2014-04-09 23:00:00,DESN077,day,19.91
2014-04-10 23:00:00,DESN077,day,17.34
2014-04-11 23:00:00,DESN077,day,30.63
2014-04-12 23:00:00,DESN077,day,45.02
2014-04-13 23:00:00,DESN077,day,37.53
2014-04-14 23:00:00,DESN077,day,23.8
2014-04-15 23:00:00,DESN077,day,20.65
2014-04-16 23:00:00,DESN077,day,24.47
2014-04-17 23:00:00,DESN077,day,22.94
2014-04-18 23:00:00,DESN077,day,13.55
2014-04-19 23:00:00,DESN077,day,35.04
2014-04-20 23:00:00,DESN077,day,35.04
2014-04-21 23:00:00,DESN077,day,21.28
2014-04-22 23:00:00,DESN077,day,26.84
2014-04-23 23:00:00,DESN077,day,37.5
2014-04-24 23:00:00,DESN077,day,35.24
2014-04-25 23:00:00,DESN077,day,34.91
2014-04-26 23:00:00,DESN077,day,38.18
2014-04-27 23:00:00,DESN077,day,26.55
2014-04-28 23:00:00,DESN077,day,36.57
2014-04-29 23:00:00,DESN077,day,46.42
2014-04-30 23:00:00,DESN077,day,54.92
2014-05-01 23:00:00,DESN077,day,34.01
2014-05-02 23:00:00,DESN077,day,16.95
2014-05-03 23:00:00,DESN077,day,19.62
2014-05-04 23:00:00,DESN077,day,17.52
2014-05-05 23:00:00,DESN077,day,32.17
2014-05-06 23:00:00,DESN077,day,26.89
2014-05-07 23:00:00,DESN077,day,16.9
2014-05-08 23:00:00,DESN077,day,19.0
2014-05-09 23:00:00,DESN077,day,12.54
2014-05-10 23:00:00,DESN077,day,14.42
2014-05-11 23:00:00,DESN077,day,10.48
2014-05-12 23:00:00,DESN077,day,11.79
2014-05-13 23:00:00,DESN077,day,13.31
2014-05-14 23:00:00,DESN077,day,20.12
2014-05-15 23:00:00,DESN077,day,21.47
2014-05-16 23:00:00,DESN077,day,16.16
2014-05-17 23:00:00,DESN077,day,21.67
2014-05-18 23:00:00,DESN077,day,11.31
2014-05-19 23:00:00,DESN077,day,20.88
2014-05-20 23:00:00,DESN077,day,27.28
2014-05-21 23:00:00,DESN077,day,24.74
2014-05-22 23:00:00,DESN077,day,30.05
2014-05-23 23:00:00,DESN077,day,27.02
2014-05-24 23:00:00,DESN077,day,22.89
2014-05-25 23:00:00,DESN077,day,16.4
2014-05-26 23:00:00,DESN077,day,28.59
2014-05-27 23:00:00,DESN077,day,25.91
2014-05-28 23:00:00,DESN077,day,6.52
2014-05-29 23:00:00,DESN077,day,10.39
2014-05-30 23:00:00,DESN077,day,17.25
2014-05-31 23:00:00,DESN077,day,19.0
2014-06-01 23:00:00,DESN077,day,21.1
2014-06-02 23:00:00,DESN077,day,25.36
2014-06-03 23:00:00,DESN077,day,20.98
2014-06-04 23:00:00,DESN077,day,22.84
2014-06-05 23:00:00,DESN077,day,17.29
2014-06-06 23:00:00,DESN077,day,21.72
2014-06-07 23:00:00,DESN077,day,26.17
2014-06-08 23:00:00,DESN077,day,28.31
2014-06-09 23:00:00,DESN077,day,29.65
2014-06-10 23:00:00,DESN077,day,45.74
2014-06-11 23:00:00,DESN077,day,30.19
2014-06-12 23:00:00,DESN077,day,23.67
2014-06-13 23:00:00,DESN077,day,21.77
2014-06-14 23:00:00,DESN077,day,15.17
2014-06-15 23:00:00,DESN077,day,14.98
2014-06-16 23:00:00,DESN077,day,24.95
2014-06-17 23:00:00,DESN077,day,24.54
2014-06-18 23:00:00,DESN077,day,24.15
2014-06-19 23:00:00,DESN077,day,16.45
2014-06-20 23:00:00,DESN077,day,15.18
2014-06-21 23:00:00,DESN077,day,11.02
2014-06-22 23:00:00,DESN077,day,10.39
2014-06-23 23:00:00,DESN077,day,17.25
2014-06-24 23:00:00,DESN077,day,18.29
2014-06-25 23:00:00,DESN077,day,14.17
2014-06-26 23:00:00,DESN077,day,19.43
2014-06-27 23:00:00,DESN077,day,19.35
2014-06-28 23:00:00,DESN077,day,16.1
2014-06-29 23:00:00,DESN077,day,9.87
2014-06-30 23:00:00,DESN077,day,19.76
2014-07-01 23:00:00,DESN077,day,19.53
2014-07-02 23:00:00,DESN077,day,21.53
